EDAD;GENERO;INGRESOS_MES;DISTANCIA_RECORRIDA;NINOS_HOGAR;VEHICULO;GUSTO_CONDUCIR;GUSTO_MUSICA;SUBSCRIPTOR_CLARO_MUSICA
56;MUJER;2626508;1781;3;1;4;2;NO
59;HOMBRE;2347315;2174;1;1;4;3;NO
51;HOMBRE;2178489;1764;4;1;6;4;NO
48;MUJER;2498677;1822;1;1;4;2;NO
49;HOMBRE;2276858;1995;0;1;5;2;NO
55;HOMBRE;2177068;2278;3;1;5;2;NO
54;MUJER;2043383;2033;2;1;5;3;NO
63;MUJER;2491122;2171;0;1;5;1;NO
56;HOMBRE;2104658;1634;1;1;4;3;NO
50;HOMBRE;2432258;2086;2;1;4;2;NO
60;HOMBRE;2716005;2259;3;1;4;3;NO
54;MUJER;2500300;1755;0;1;4;2;NO
53;MUJER;2490643;2102;3;1;5;3;NO
47;MUJER;2056652;1803;2;1;4;3;NO
46;HOMBRE;2597988;2709;2;1;5;4;NO
57;HOMBRE;2013459;2169;2;1;4;3;NO
50;HOMBRE;2493235;1444;1;1;6;2;NO
54;HOMBRE;2460588;2079;4;1;5;4;SI
63;HOMBRE;2601914;2181;1;1;6;3;NO
56;HOMBRE;2605710;2216;1;1;6;4;NO
47;MUJER;1849460;2111;2;1;4;3;NO
47;MUJER;2254464;2054;1;1;5;3;NO
58;HOMBRE;1971848;1943;4;1;5;2;NO
53;HOMBRE;2274389;2427;2;1;5;3;NO
56;MUJER;2146043;1661;1;1;6;3;NO
54;HOMBRE;2199418;1938;2;1;5;3;NO
62;HOMBRE;1550627;1802;0;1;4;2;NO
52;MUJER;2394637;2059;2;1;5;2;NO
57;HOMBRE;2383001;1754;2;1;4;3;NO
48;HOMBRE;1528887;2390;4;1;4;3;NO
50;HOMBRE;2489815;2064;2;1;4;4;NO
50;HOMBRE;3313968;2819;1;1;5;4;NO
59;HOMBRE;2795131;2138;2;1;5;3;NO
58;MUJER;2096554;1736;2;1;5;3;NO
56;MUJER;2668963;2650;0;1;5;1;NO
54;HOMBRE;2179047;1780;2;1;3;4;NO
59;MUJER;2499148;1932;4;1;4;3;NO
62;HOMBRE;2207979;2171;5;1;6;3;NO
54;HOMBRE;2382310;1688;2;1;5;3;SI
55;HOMBRE;2778454;2216;2;1;5;3;NO
59;MUJER;2512995;2300;3;1;5;3;NO
55;HOMBRE;2483651;1833;2;1;5;2;NO
51;HOMBRE;1961719;1435;1;1;6;4;NO
50;MUJER;2577474;2460;4;1;5;3;NO
60;MUJER;2679787;2388;0;1;5;2;NO
57;HOMBRE;2489283;2120;3;1;6;2;NO
59;HOMBRE;2619515;2152;0;1;4;2;NO
56;MUJER;1968570;2006;2;1;5;3;NO
54;MUJER;1857916;2100;1;1;5;3;NO
62;HOMBRE;2211271;1908;2;1;4;2;NO
54;HOMBRE;2313933;1711;1;1;5;3;SI
59;HOMBRE;2713184;2501;0;1;4;2;NO
50;HOMBRE;2064622;2176;2;1;5;3;NO
67;MUJER;2396577;1264;3;1;5;3;NO
51;HOMBRE;2113331;1864;2;1;4;3;NO
52;HOMBRE;2298450;2018;0;1;4;3;NO
53;MUJER;2540540;2122;3;1;4;3;NO
58;MUJER;2492184;2021;2;1;5;3;NO
51;HOMBRE;2047835;2311;3;1;5;1;SI
70;HOMBRE;1860371;1613;2;1;4;3;NO
49;MUJER;2463048;1849;0;1;6;2;NO
57;HOMBRE;2362524;1499;3;1;6;2;NO
55;HOMBRE;2517987;1853;2;1;5;3;NO
50;HOMBRE;2162520;1956;1;1;6;4;NO
60;HOMBRE;2297022;2401;1;1;5;4;NO
50;MUJER;1907156;2399;1;1;5;4;NO
57;MUJER;2341623;2218;4;1;4;3;NO
57;HOMBRE;2990608;1853;3;1;5;2;NO
56;HOMBRE;1676934;1516;3;1;4;3;NO
47;HOMBRE;1937149;1402;1;1;5;2;NO
45;MUJER;2729819;1019;2;1;5;3;NO
51;MUJER;2247129;2179;4;1;5;2;NO
49;HOMBRE;2301493;1869;2;1;5;3;NO
53;MUJER;2861792;2104;1;1;5;3;NO
59;MUJER;2727771;1895;0;1;5;3;NO
55;MUJER;2495973;2038;1;1;5;2;NO
53;HOMBRE;1947429;2200;1;1;4;4;NO
48;MUJER;2062281;2197;2;1;6;3;NO
57;HOMBRE;2240507;1490;1;1;5;5;NO
48;MUJER;2015188;2119;3;1;4;2;NO
52;HOMBRE;2388751;2017;3;1;4;4;NO
52;MUJER;1891802;1323;2;1;5;3;NO
51;MUJER;2109355;1786;1;1;5;3;NO
56;MUJER;2407558;2286;3;1;5;2;NO
55;MUJER;2290802;1826;5;1;3;3;NO
60;HOMBRE;2774001;1538;3;1;5;3;SI
52;MUJER;2290388;2252;2;1;5;3;SI
50;HOMBRE;2438043;2075;2;1;5;2;NO
54;MUJER;2817778;2181;1;1;5;2;NO
52;HOMBRE;2115633;1410;0;1;5;4;NO
54;HOMBRE;2289660;2608;2;1;4;3;NO
54;HOMBRE;2459264;1663;1;1;5;3;SI
58;MUJER;2684367;1957;2;1;5;3;NO
54;HOMBRE;2214858;2554;0;1;6;3;NO
52;HOMBRE;1902341;1975;2;1;5;4;NO
57;HOMBRE;2254312;1945;0;1;6;3;SI
52;HOMBRE;2245752;2297;6;1;5;3;NO
46;HOMBRE;2203872;1968;1;1;5;3;NO
49;MUJER;1882159;2210;0;1;5;4;NO
65;HOMBRE;2025984;2470;3;1;6;4;NO
64;HOMBRE;2174872;2244;7;1;6;2;NO
55;HOMBRE;2235717;2009;2;1;4;3;NO
39;HOMBRE;2387249;1886;2;1;5;3;NO
51;HOMBRE;2377550;1291;2;1;5;4;NO
51;HOMBRE;1795078;1971;2;1;6;4;NO
53;HOMBRE;2820148;2150;3;1;6;3;NO
51;HOMBRE;2227054;2445;2;1;4;3;NO
58;HOMBRE;2308974;1770;1;1;6;4;NO
60;HOMBRE;2314279;2022;1;1;6;3;NO
55;HOMBRE;2450732;2182;2;1;5;3;NO
51;MUJER;2598930;2383;1;1;5;4;NO
55;MUJER;2452873;1877;2;1;6;3;NO
53;MUJER;2217733;2167;2;1;5;1;NO
48;HOMBRE;2786346;2068;1;1;5;3;NO
58;HOMBRE;2057550;2301;3;1;5;2;NO
53;HOMBRE;2498670;1921;0;1;4;3;NO
45;HOMBRE;1655431;2072;2;1;4;3;NO
42;MUJER;1973850;3171;0;1;4;2;NO
44;HOMBRE;1825570;2634;0;1;4;3;SI
42;MUJER;1633997;3273;0;1;4;2;NO
44;HOMBRE;1782101;2340;0;1;4;3;NO
44;HOMBRE;1691767;2740;2;1;4;3;NO
45;MUJER;1786861;2819;0;1;4;2;NO
39;MUJER;1694817;2234;2;1;4;2;NO
42;MUJER;1812067;2467;0;1;4;1;NO
43;MUJER;1902918;2672;0;1;4;3;NO
42;MUJER;1938624;2012;0;1;6;2;NO
43;HOMBRE;1740464;2324;2;1;5;1;NO
41;MUJER;1734780;1871;1;1;5;1;NO
43;MUJER;1605323;2586;0;1;5;1;NO
39;MUJER;1775582;2131;0;1;5;1;NO
41;MUJER;1717840;2624;0;1;4;2;NO
44;HOMBRE;1632700;2941;1;1;4;2;NO
45;MUJER;1652473;2116;0;1;5;1;NO
41;HOMBRE;1881878;2030;3;1;5;1;NO
38;HOMBRE;1605073;2452;0;1;5;4;NO
40;HOMBRE;1786808;1951;0;1;4;2;NO
42;MUJER;1689815;2472;1;1;4;3;NO
39;MUJER;1994959;2513;0;1;4;1;NO
43;MUJER;1731429;2421;1;1;5;3;NO
39;MUJER;1879689;3298;1;1;3;2;NO
42;HOMBRE;1656422;2295;2;1;4;2;NO
42;MUJER;1769519;2689;1;1;5;4;NO
42;HOMBRE;1634709;2158;2;1;4;2;NO
41;HOMBRE;1667544;2130;1;1;3;1;NO
43;MUJER;1870302;1936;2;1;5;2;NO
43;MUJER;1782584;2598;2;1;4;3;NO
40;MUJER;1745100;2235;1;1;5;2;NO
44;MUJER;1646416;3093;3;1;4;2;NO
46;HOMBRE;1995729;2336;3;1;4;2;SI
39;MUJER;1904729;2676;2;1;4;2;NO
45;HOMBRE;1697393;2547;0;1;3;2;NO
43;MUJER;1813662;2287;0;1;4;2;NO
42;MUJER;1574244;2282;0;1;5;2;NO
42;HOMBRE;1395920;3088;0;1;6;3;NO
40;MUJER;1816161;2320;1;1;5;2;NO
46;MUJER;1892095;2839;1;1;4;2;NO
39;HOMBRE;1743766;2163;0;1;3;4;NO
39;HOMBRE;1758325;2456;0;0;5;1;NO
41;MUJER;1799645;2142;3;1;4;4;NO
41;MUJER;1783281;2408;1;0;4;1;NO
39;MUJER;1717535;2535;1;1;4;2;NO
44;HOMBRE;1924626;2376;1;1;3;3;NO
42;MUJER;1606299;2318;0;1;4;3;NO
47;MUJER;2010341;2021;0;1;5;1;NO
42;MUJER;1897466;2823;0;1;4;2;NO
40;HOMBRE;1732928;2037;0;0;4;2;NO
45;HOMBRE;1841487;2531;1;1;5;2;NO
41;HOMBRE;1815689;2217;1;1;4;1;NO
39;MUJER;1629373;2282;0;0;4;1;NO
43;MUJER;1631695;2265;0;1;3;3;NO
40;MUJER;1765346;2470;2;0;4;3;NO
46;HOMBRE;1760853;2533;1;0;5;3;NO
44;MUJER;1785809;2599;2;1;2;2;SI
43;MUJER;1925318;2110;1;1;4;2;NO
41;HOMBRE;1735880;2170;2;1;3;2;NO
43;HOMBRE;2008992;1745;1;1;5;2;NO
43;MUJER;1698963;2277;1;1;5;1;NO
42;HOMBRE;1802201;2086;2;1;4;1;NO
42;HOMBRE;1888529;2170;2;1;5;3;NO
41;MUJER;1648592;2054;1;1;5;2;NO
45;HOMBRE;1835170;2015;1;1;4;2;NO
40;MUJER;1831074;2207;0;1;5;3;NO
42;MUJER;1784453;2867;0;1;5;1;NO
45;MUJER;1691419;2104;1;1;4;1;SI
39;HOMBRE;1953073;2705;0;1;4;2;SI
45;MUJER;1927557;1851;1;1;4;2;NO
42;MUJER;1718294;3045;0;1;4;2;NO
41;HOMBRE;1752043;2085;1;0;5;2;NO
39;MUJER;1609515;2548;0;0;4;2;NO
45;MUJER;1875510;2954;1;1;4;1;NO
44;MUJER;1804318;2403;1;1;5;1;NO
46;MUJER;1667916;2288;2;1;4;3;NO
45;HOMBRE;1698021;2617;0;1;4;2;NO
44;MUJER;1814022;2114;1;1;6;2;NO
44;MUJER;1665646;2816;1;0;4;2;NO
43;MUJER;1717513;2196;1;0;5;2;NO
44;HOMBRE;1752425;1891;1;0;4;2;NO
42;MUJER;1845179;2568;1;1;5;1;NO
40;MUJER;1720773;3125;0;0;4;1;NO
41;MUJER;1700005;2647;1;1;4;2;NO
42;MUJER;2504856;3049;3;1;3;2;NO
41;MUJER;2156285;2440;4;1;4;4;NO
37;MUJER;2473619;2567;2;1;3;2;NO
38;MUJER;741558;1992;1;1;3;3;NO
41;MUJER;2060345;2383;3;1;4;3;NO
38;HOMBRE;1927536;2273;2;1;3;3;NO
36;MUJER;1463012;2491;1;1;4;4;NO
38;MUJER;1374847;2421;3;1;4;2;NO
37;MUJER;1586165;2605;3;1;3;2;NO
41;MUJER;2329330;3253;1;1;3;3;NO
40;HOMBRE;1630612;2314;2;1;3;3;NO
37;HOMBRE;2500979;2536;1;1;4;2;NO
36;MUJER;1770533;2441;0;1;4;2;NO
40;HOMBRE;1858871;3377;1;1;4;3;NO
38;MUJER;1728796;2395;3;1;3;3;NO
37;MUJER;858376;2142;1;1;3;3;NO
35;MUJER;2619975;2106;2;1;4;3;NO
40;MUJER;1818854;2429;4;1;3;3;SI
36;MUJER;1863636;2425;0;1;4;4;NO
38;HOMBRE;1886170;2351;3;1;3;3;NO
41;MUJER;2018339;2839;2;1;3;3;NO
38;MUJER;1534307;2923;4;1;3;1;NO
38;MUJER;1303663;2663;1;1;2;3;NO
36;MUJER;2550830;2284;3;1;3;2;NO
36;MUJER;2640917;2877;2;1;4;4;NO
36;HOMBRE;2462246;3214;1;1;3;4;NO
35;MUJER;1933141;3053;4;1;4;3;NO
38;MUJER;2467536;3131;6;1;3;4;NO
38;MUJER;2426464;2621;0;1;3;3;NO
38;HOMBRE;2787558;2678;2;1;3;3;NO
38;MUJER;1651250;2596;4;1;2;3;NO
38;MUJER;3065039;2823;2;1;4;2;NO
36;MUJER;2518643;1849;4;1;4;3;NO
39;HOMBRE;2685005;2258;4;1;4;3;NO
38;MUJER;1963769;2474;1;1;3;3;NO
38;MUJER;1392678;2823;3;1;3;4;NO
39;MUJER;1541341;2146;0;1;3;3;NO
43;MUJER;1356698;3108;5;1;3;2;NO
37;MUJER;1623518;2986;2;1;3;2;NO
35;HOMBRE;2055539;2310;5;1;2;3;SI
40;MUJER;1719876;2213;1;1;5;4;NO
38;HOMBRE;1799881;2756;3;1;4;3;NO
39;MUJER;1246034;2789;4;1;4;2;NO
35;HOMBRE;2174039;2278;5;1;4;2;NO
36;MUJER;1819683;2920;5;1;3;1;NO
38;MUJER;766493;2574;3;1;3;2;NO
39;MUJER;2277545;2377;9;1;2;3;NO
41;MUJER;2369931;2964;1;1;4;2;NO
38;MUJER;2413763;2491;1;1;2;2;NO
38;MUJER;3173111;2760;8;1;3;2;NO
37;MUJER;2036001;2904;1;1;4;2;NO
36;MUJER;2193958;2833;4;1;4;4;NO
35;MUJER;1011014;2222;5;1;5;4;NO
37;MUJER;1469639;2010;2;1;4;2;NO
37;MUJER;3000972;3143;3;1;3;3;NO
40;MUJER;1605580;2731;3;1;4;3;NO
37;MUJER;1474028;2688;3;1;3;3;NO
36;HOMBRE;1397744;3083;3;1;3;4;NO
34;MUJER;1861125;2936;1;1;2;2;NO
37;HOMBRE;1917323;2758;5;1;3;2;NO
38;MUJER;2705974;2240;2;1;3;2;NO
41;HOMBRE;1406022;2582;1;1;4;2;NO
38;MUJER;1791226;2723;5;1;4;4;NO
39;MUJER;1976213;1804;6;1;3;3;NO
39;MUJER;893745;2537;6;1;2;3;NO
36;MUJER;1348834;2447;1;1;3;3;NO
39;MUJER;1128050;2382;3;1;3;3;NO
40;HOMBRE;1578961;2381;6;1;4;3;NO
38;MUJER;1387840;2551;2;1;4;3;NO
37;MUJER;1549611;2603;3;1;3;3;NO
36;HOMBRE;2384912;2830;2;1;5;2;NO
39;MUJER;1843783;2089;1;1;3;2;NO
37;MUJER;1958226;2840;3;1;4;2;NO
34;MUJER;2643077;2959;4;1;2;3;NO
38;MUJER;1695851;2055;4;1;3;3;NO
37;MUJER;2580418;2463;6;1;3;4;NO
37;HOMBRE;880991;3003;1;1;3;3;NO
37;MUJER;1746381;2385;3;1;4;1;NO
36;HOMBRE;3079314;2689;5;1;3;2;NO
38;MUJER;1221958;2867;3;1;4;2;NO
41;MUJER;886092;2551;4;1;3;2;NO
37;MUJER;2734634;2616;5;1;3;3;SI
43;HOMBRE;1422486;2437;1;1;3;2;NO
34;MUJER;1117202;2961;1;1;3;3;NO
39;MUJER;1954285;3504;3;1;3;4;NO
39;MUJER;1366493;2810;4;1;3;3;NO
39;HOMBRE;1689112;2506;2;1;2;3;NO
39;MUJER;1937912;2465;3;1;3;3;NO
38;MUJER;2307434;1983;2;1;4;2;NO
38;MUJER;2204715;2585;7;1;3;4;NO
42;MUJER;2012524;2870;1;1;2;3;NO
41;HOMBRE;2422741;2982;1;1;3;2;NO
39;HOMBRE;1135979;2996;4;1;4;3;NO
38;HOMBRE;2474061;2618;4;1;4;3;NO
38;MUJER;1455980;2880;3;1;4;3;NO
42;HOMBRE;2754158;2697;2;1;3;3;NO
41;MUJER;2583088;2463;2;1;4;3;NO
37;MUJER;3107803;2650;4;1;3;3;NO
38;MUJER;1879194;2842;1;1;4;2;NO
39;MUJER;1843415;2216;1;1;3;3;NO
35;MUJER;1669349;2618;3;1;3;2;NO
38;HOMBRE;2039573;3032;1;1;3;3;NO
38;MUJER;1696064;3135;4;1;2;2;NO
36;MUJER;2754219;2473;5;1;3;3;NO
36;MUJER;1730973;2505;1;1;4;3;NO
36;MUJER;2563178;3043;2;1;4;2;NO
37;HOMBRE;1751972;2601;5;1;2;2;NO
36;MUJER;2254895;3018;4;1;3;2;NO
38;MUJER;2017900;2705;4;1;3;3;NO
38;MUJER;1376439;2327;1;1;3;3;SI
39;MUJER;2945967;2092;4;1;3;3;SI
38;MUJER;1416712;2827;2;1;3;2;NO
39;MUJER;2081896;2516;5;1;5;2;NO
37;MUJER;2576330;2090;6;1;4;4;NO
39;MUJER;2618739;2419;2;1;3;3;NO
36;MUJER;1022373;2469;7;1;5;4;NO
37;MUJER;2383660;2295;4;1;3;2;NO
38;HOMBRE;2007781;2537;2;1;4;3;NO
39;HOMBRE;859330;2080;1;1;3;3;NO
39;HOMBRE;1162670;2522;6;1;3;3;NO
36;MUJER;1992714;3278;4;1;4;3;NO
35;MUJER;1631621;2529;2;1;4;4;NO
39;MUJER;2067027;2542;6;1;3;3;NO
37;MUJER;1465176;2239;1;1;3;3;SI
39;MUJER;1625990;2349;9;1;5;3;SI
37;MUJER;1322668;0;3;0;3;4;NO
36;HOMBRE;1514047;0;1;0;2;4;NO
33;HOMBRE;1563257;0;2;0;4;4;NO
34;MUJER;1981550;0;6;0;4;5;NO
35;MUJER;1382327;0;1;0;3;5;NO
36;MUJER;1547277;0;5;0;2;4;SI
37;HOMBRE;1006210;0;4;0;1;5;NO
33;MUJER;970043;0;3;0;3;4;NO
30;MUJER;675283;0;3;0;2;4;NO
41;MUJER;1520233;0;2;0;3;4;NO
41;HOMBRE;990869;0;2;0;1;3;NO
36;HOMBRE;1267944;0;5;0;2;4;NO
34;MUJER;1253675;0;3;0;3;3;NO
39;HOMBRE;1387056;0;2;0;2;3;NO
34;MUJER;1372650;0;3;0;2;5;NO
30;HOMBRE;1496075;0;2;0;2;4;NO
35;MUJER;1497005;0;1;0;1;6;NO
29;MUJER;1279323;0;2;0;2;4;NO
46;HOMBRE;1228586;0;1;0;3;5;NO
38;MUJER;861215;0;1;0;3;5;NO
36;HOMBRE;1484925;0;1;0;1;5;NO
34;MUJER;1567812;0;1;0;1;4;NO
38;HOMBRE;805657;0;2;0;1;5;NO
32;HOMBRE;1233476;0;0;0;2;4;NO
32;HOMBRE;1456475;0;2;0;1;4;NO
37;HOMBRE;1358693;0;3;0;2;5;NO
34;MUJER;1434462;0;1;0;2;6;NO
35;HOMBRE;1649585;0;3;0;1;5;NO
31;HOMBRE;1613291;0;3;0;2;5;NO
38;MUJER;1153852;0;4;0;1;4;NO
39;MUJER;1322062;0;1;0;1;5;NO
33;MUJER;1475368;0;1;0;2;4;NO
40;HOMBRE;1178015;0;2;0;3;5;NO
33;HOMBRE;1108792;0;2;0;2;3;NO
38;HOMBRE;1685122;0;5;0;2;5;NO
35;HOMBRE;1692657;0;1;0;3;3;NO
34;MUJER;1228045;0;1;0;2;5;NO
32;HOMBRE;1671293;0;0;0;2;5;NO
31;HOMBRE;1628538;0;3;0;3;4;NO
41;HOMBRE;1427458;0;1;0;3;5;NO
26;MUJER;1473360;0;3;0;2;4;NO
36;HOMBRE;1551988;0;1;0;2;5;NO
38;MUJER;1622576;0;4;0;2;4;NO
36;MUJER;1454639;0;2;0;3;3;NO
39;HOMBRE;1622588;0;0;0;1;3;NO
33;HOMBRE;1239782;0;2;0;2;3;NO
37;HOMBRE;995846;0;1;0;2;4;NO
31;HOMBRE;1095765;0;2;0;2;3;NO
39;MUJER;1134081;0;2;0;2;5;NO
36;HOMBRE;1737976;0;1;0;3;3;NO
36;HOMBRE;1475607;0;2;0;2;5;NO
34;HOMBRE;1440384;0;4;0;1;4;NO
35;HOMBRE;1489904;0;1;0;2;3;NO
36;HOMBRE;1271007;0;5;0;2;5;NO
40;MUJER;1168179;0;4;0;1;4;NO
36;HOMBRE;1708564;0;2;0;2;4;NO
36;MUJER;998408;0;2;0;3;4;NO
29;HOMBRE;2250045;0;1;0;3;3;NO
34;HOMBRE;1363343;0;2;0;2;4;NO
30;HOMBRE;1550061;0;1;0;1;5;NO
34;MUJER;1472458;0;2;0;1;4;NO
46;MUJER;1451647;0;1;0;2;3;NO
35;MUJER;832320;0;1;0;3;4;NO
39;HOMBRE;1553022;0;1;0;3;5;NO
33;MUJER;1356817;0;2;0;2;4;NO
36;HOMBRE;1043782;0;3;0;3;4;NO
39;MUJER;1091835;0;1;0;2;6;NO
43;MUJER;822183;0;0;0;2;6;NO
39;HOMBRE;1650203;0;0;0;2;4;NO
31;MUJER;1292102;0;0;0;2;4;NO
36;HOMBRE;1576345;0;2;0;2;4;NO
28;MUJER;634414;0;2;0;2;4;NO
36;MUJER;1131249;0;2;0;2;4;NO
36;MUJER;1597573;0;2;0;1;4;NO
39;HOMBRE;1421455;0;1;0;3;5;NO
36;MUJER;1847145;0;3;0;2;5;NO
41;MUJER;1415586;0;3;0;2;4;NO
35;MUJER;1153837;0;2;0;3;5;NO
38;MUJER;1974776;0;2;0;1;4;NO
37;MUJER;1586409;0;2;0;2;5;NO
41;MUJER;1401521;0;2;0;3;4;NO
27;MUJER;1355607;0;3;0;2;4;NO
37;HOMBRE;1628733;0;0;0;2;4;NO
34;HOMBRE;1589865;0;2;0;3;5;NO
39;MUJER;1767773;0;0;0;2;4;NO
38;HOMBRE;1334637;0;3;0;2;3;NO
37;MUJER;1281796;0;2;0;3;4;NO
34;HOMBRE;1250533;0;1;0;2;4;NO
35;MUJER;1501173;0;2;0;3;3;NO
37;MUJER;1414886;0;1;0;3;5;NO
35;MUJER;1320172;0;2;0;1;5;NO
45;HOMBRE;1072973;0;1;0;2;3;NO
41;MUJER;1750903;0;1;0;3;5;NO
34;MUJER;1618902;0;0;0;3;3;NO
39;HOMBRE;1298952;0;5;0;3;4;NO
34;HOMBRE;1197482;0;2;0;3;5;NO
45;HOMBRE;918672;0;3;0;2;4;NO
38;MUJER;1366210;0;1;0;1;5;NO
34;HOMBRE;1124606;0;2;0;1;4;NO
27;HOMBRE;1318485;0;1;0;2;4;NO
39;HOMBRE;1727432;0;0;0;3;6;NO
35;MUJER;1214150;0;1;0;2;5;NO
36;HOMBRE;1439060;0;5;0;2;4;NO
35;MUJER;1349550;0;0;0;2;4;NO
34;HOMBRE;1314728;0;3;0;2;4;NO
31;MUJER;1359804;0;1;0;2;4;NO
33;HOMBRE;1216917;0;2;0;2;5;NO
32;MUJER;1820218;0;0;0;1;6;NO
35;MUJER;1364454;0;0;0;2;3;NO
37;MUJER;1101511;0;3;0;2;6;NO
37;MUJER;1374813;0;3;0;2;5;NO
41;MUJER;1618875;0;2;0;1;5;NO
40;HOMBRE;1449744;0;3;0;2;4;NO
40;MUJER;1492157;0;0;0;3;5;NO
33;HOMBRE;1355895;0;1;0;3;5;NO
38;MUJER;1098144;0;2;0;2;4;NO
37;MUJER;1140674;0;0;0;3;4;NO
38;MUJER;1219215;0;2;0;2;4;NO
39;HOMBRE;1417544;0;2;0;3;3;NO
31;HOMBRE;1648815;0;1;0;3;4;NO
38;HOMBRE;1842101;0;2;0;2;3;NO
42;HOMBRE;1642778;0;1;0;2;3;NO
34;HOMBRE;1962830;0;2;0;3;4;NO
35;HOMBRE;1357412;0;1;0;2;5;NO
42;HOMBRE;795765;0;1;0;3;4;NO
43;HOMBRE;1094564;0;1;0;1;5;NO
31;MUJER;1674979;0;1;0;3;3;NO
25;MUJER;1427083;0;3;0;1;4;NO
43;MUJER;1577897;0;5;0;2;3;NO
37;MUJER;1286332;0;3;0;3;3;NO
31;HOMBRE;1038878;0;2;0;3;3;NO
35;MUJER;1498645;0;3;0;2;4;NO
34;HOMBRE;1559325;0;4;0;2;4;NO
37;HOMBRE;1247954;0;1;0;1;3;NO
33;MUJER;1735430;0;5;0;2;3;NO
38;HOMBRE;1441552;0;3;0;1;4;NO
35;HOMBRE;1459195;0;3;0;4;4;NO
37;HOMBRE;1403928;0;3;0;3;4;NO
38;MUJER;1421201;0;4;0;1;3;NO
36;MUJER;1785608;0;3;0;1;3;NO
33;HOMBRE;1519488;0;1;0;1;5;NO
30;HOMBRE;1291501;0;0;0;2;4;NO
34;HOMBRE;1379440;0;5;0;2;4;NO
34;MUJER;1694743;0;2;0;2;4;NO
38;MUJER;1620614;0;2;0;2;4;NO
35;MUJER;1231126;0;0;0;3;6;NO
34;HOMBRE;1390191;0;0;0;3;4;NO
39;MUJER;1334727;0;2;0;1;4;NO
32;HOMBRE;1245486;0;5;0;3;5;NO
35;HOMBRE;1509584;0;3;0;3;4;NO
40;HOMBRE;1079347;0;2;0;2;4;NO
30;MUJER;1653650;0;2;0;2;4;NO
36;HOMBRE;1150130;0;1;0;2;5;NO
34;HOMBRE;1193466;0;0;0;2;3;NO
28;MUJER;1543172;0;2;0;3;4;NO
37;HOMBRE;1057870;0;2;0;2;4;NO
34;HOMBRE;1395250;0;5;0;2;4;NO
40;HOMBRE;1452934;0;0;0;3;5;NO
40;MUJER;2068988;0;3;0;2;5;NO
